1,1,96M,,,0.30
1,2,96M,,,0.29
1,3,96M,,,0.29
1,4,96M,,,0.28
1,5,96M,,,0.29
1,6,96M,,,0.28
1,7,96M,,,0.28
1,8,96M,,,0.29
1,9,96M,,,0.29
1,1,96M,0.33,1.3M,0.29
1,2,96M,0.32,1.3M,0.29
1,3,96M,0.30,820K,0.29
1,4,96M,0.39,476K,0.28
1,5,96M,0.39,476K,0.28
1,6,96M,0.38,476K,0.28
1,7,96M,0.38,476K,0.28
1,8,96M,0.38,476K,0.28
1,9,96M,0.38,476K,0.28
2,1,100M,2.10,113M,0.42
2,2,100M,2.11,113M,0.42
2,3,100M,2.13,113M,0.42
2,4,100M,2.30,113M,0.41
2,5,100M,2.30,113M,0.44
2,6,100M,2.26,113M,0.43
2,7,100M,2.32,113M,0.43
2,8,100M,2.27,113M,0.43
2,9,100M,2.25,113M,0.43
4,1,100M,3.22,81M,0.79
4,2,100M,3.23,81M,0.81
4,3,100M,3.20,81M,0.80
4,4,100M,3.67,81M,0.69
4,5,100M,3.67,81M,0.71
4,6,100M,3.67,81M,0.69
4,7,100M,3.66,81M,0.70
4,8,100M,3.63,81M,0.69
4,9,100M,3.73,81M,0.72
5,1,113M,3.04,81M,0.78
5,2,113M,3.15,81M,0.77
5,3,113M,3.14,81M,0.77
5,4,113M,3.62,81M,0.67
5,5,113M,3.64,81M,0.67
5,6,113M,3.64,81M,0.66
5,7,113M,3.64,81M,0.67
5,8,113M,3.63,81M,0.68
5,9,113M,3.63,81M,0.67
6,1,100M,2.11,113M,0.42
6,2,100M,2.10,113M,0.42
6,3,100M,2.11,113M,0.42
6,4,100M,2.22,113M,0.42
6,5,100M,2.20,113M,0.43
6,6,100M,2.21,113M,0.43
6,7,100M,2.21,113M,0.42
6,8,100M,2.22,113M,0.43
6,9,100M,2.65,113M,0.44
13,1,100M,1.17,59M,0.74
13,2,100M,1.55,59M,0.75
13,3,100M,1.87,58M,0.76
13,4,100M,2.50,58M,0.80
13,5,100M,3.04,58M,0.80
13,6,100M,3.05,58M,0.81
13,7,100M,3.02,58M,0.81
13,8,100M,3.04,58M,0.80
13,9,100M,3.10,58M,0.81
14,1,113M,2.24,81M,0.88
14,2,113M,2.43,81M,0.88
14,3,113M,2.84,81M,0.88
14,4,113M,3.05,81M,0.82
14,5,113M,4.65,81M,0.82
14,6,113M,5.50,81M,0.81
14,7,113M,6.43,81M,0.84
14,8,113M,6.34,81M,0.79
14,9,113M,6.33,81M,0.79
15,1,113M,1.72,61M,0.90
15,2,113M,1.95,60M,0.90
15,3,113M,3.12,59M,0.85
15,4,113M,2.86,58M,0.86
15,5,113M,5.27,58M,0.84
15,6,113M,9.23,57M,0.81
15,7,113M,9.39,57M,0.82
15,8,113M,9.42,57M,0.82
15,9,113M,9.44,57M,0.83
16,1,113M,1.24,50M,0.84
16,2,113M,1.48,50M,0.81
16,3,113M,2.80,48M,0.73
16,4,113M,2.23,48M,0.74
16,5,113M,5.00,46M,0.75
16,6,113M,8.48,45M,0.75
16,7,113M,9.59,46M,0.74
16,8,113M,11.00,45M,0.78
16,9,113M,11.12,46M,0.77
20,1,113M,1.24,53M,0.85
20,2,113M,1.48,52M,0.81
20,3,113M,2.49,50M,0.72
20,4,113M,2.20,50M,0.72
20,5,113M,4.35,49M,0.74
20,6,113M,5.53,49M,0.73
20,7,113M,6.34,49M,0.81
20,8,113M,6.28,49M,0.73
20,9,113M,6.12,49M,0.73
1,1,96M,,,0.29
1,2,96M,,,0.29
1,3,96M,,,0.29
1,4,96M,,,0.28
1,5,96M,,,0.29
1,6,96M,,,0.28
1,7,96M,,,0.29
1,8,96M,,,0.32
1,9,96M,,,0.28
2,1,100M,,,0.43
2,2,100M,,,0.42
2,3,100M,,,0.42
2,4,100M,,,0.42
2,5,100M,,,0.42
2,6,100M,,,0.42
2,7,100M,,,0.44
2,8,100M,,,0.43
2,9,100M,,,0.43
4,1,100M,,,0.78
4,2,100M,,,0.77
4,3,100M,,,0.77
4,4,100M,,,0.72
4,5,100M,,,0.69
4,6,100M,,,0.68
4,7,100M,,,0.69
4,8,100M,,,0.69
4,9,100M,,,0.68
5,1,113M,,,0.77
5,2,113M,,,0.77
5,3,113M,,,0.77
5,4,113M,,,0.67
5,5,113M,,,0.67
5,6,113M,,,0.67
5,7,113M,,,0.67
5,8,113M,,,0.68
5,9,113M,,,0.67
6,1,100M,,,0.42
6,2,100M,,,0.42
6,3,100M,,,0.42
6,4,100M,,,0.43
6,5,100M,,,0.42
6,6,100M,,,0.43
6,7,100M,,,0.43
6,8,100M,,,0.42
6,9,100M,,,0.42
13,1,100M,,,0.74
13,2,100M,,,0.77
13,3,100M,,,0.76
13,4,100M,,,0.81
13,5,100M,,,0.82
13,6,100M,,,0.81
13,7,100M,,,0.81
13,8,100M,,,0.82
13,9,100M,,,0.81
14,1,113M,,,0.88
14,2,113M,,,0.91
14,3,113M,,,0.90
14,4,113M,,,0.82
14,5,113M,,,0.81
14,6,113M,,,0.80
14,7,113M,,,0.80
14,8,113M,,,0.81
14,9,113M,,,0.80
15,1,113M,,,0.90
15,2,113M,,,0.90
15,3,113M,,,0.86
15,4,113M,,,0.86
15,5,113M,,,0.85
15,6,113M,,,0.83
15,7,113M,,,0.83
15,8,113M,,,0.82
15,9,113M,,,0.83
16,1,113M,,,0.83
16,2,113M,,,0.83
16,3,113M,,,0.75
16,4,113M,,,0.77
16,5,113M,,,0.76
16,6,113M,,,0.75
16,7,113M,,,0.75
16,8,113M,,,0.84
16,9,113M,,,0.80
20,1,113M,,,0.83
20,2,113M,,,0.90
20,3,113M,,,0.72
20,4,113M,,,0.72
20,5,113M,,,0.76
20,6,113M,,,0.75
20,7,113M,,,0.80
20,8,113M,,,0.74
20,9,113M,,,0.73
1,1,96M,,,0.29
1,2,96M,,,0.29
1,3,96M,,,0.29
1,4,96M,,,0.29
1,5,96M,,,0.29
1,6,96M,,,0.39
1,7,96M,,,0.30
1,8,96M,,,0.28
1,9,96M,,,0.31
2,1,100M,,,0.45
2,2,100M,,,0.45
2,3,100M,,,0.44
2,4,100M,,,0.46
2,5,100M,,,0.43
2,6,100M,,,0.46
2,7,100M,,,0.50
2,8,100M,,,0.45
2,9,100M,,,0.46
4,1,100M,,,0.79
4,2,100M,,,0.82
4,3,100M,,,0.79
4,4,100M,,,0.69
4,5,100M,,,0.69
4,6,100M,,,0.69
4,7,100M,,,0.69
4,8,100M,,,0.69
4,9,100M,,,0.69
5,1,113M,,,0.77
5,2,113M,,,0.78
5,3,113M,,,0.78
5,4,113M,,,0.67
5,5,113M,,,0.67
5,6,113M,,,0.68
5,7,113M,,,0.67
5,8,113M,,,0.67
5,9,113M,,,0.67
6,1,100M,,,0.42
6,2,100M,,,0.42
6,3,100M,,,0.43
6,4,100M,,,0.42
6,5,100M,,,0.43
6,6,100M,,,0.42
6,7,100M,,,0.47
6,8,100M,,,0.44
6,9,100M,,,0.44
13,1,100M,,,0.76
13,2,100M,,,0.85
13,3,100M,,,0.78
13,4,100M,,,0.90
13,5,100M,,,0.88
13,6,100M,,,0.83
13,7,100M,,,0.81
13,8,100M,,,0.81
13,9,100M,,,0.83
14,1,113M,,,0.89
14,2,113M,,,0.90
14,3,113M,,,0.90
14,4,113M,,,0.82
14,5,113M,,,0.81
14,6,113M,,,0.80
14,7,113M,,,0.81
14,8,113M,,,0.82
14,9,113M,,,0.81
15,1,113M,,,0.90
15,2,113M,,,0.96
15,3,113M,,,0.88
15,4,113M,,,0.86
15,5,113M,,,0.85
15,6,113M,,,0.85
15,7,113M,,,0.83
15,8,113M,,,0.82
15,9,113M,,,0.83
16,1,113M,,,0.83
16,2,113M,,,0.83
16,3,113M,,,0.76
16,4,113M,,,0.75
16,5,113M,,,0.76
16,6,113M,,,0.75
16,7,113M,,,0.76
16,8,113M,,,0.75
16,9,113M,,,0.77
20,1,113M,,,0.83
20,2,113M,,,0.80
20,3,113M,,,0.71
20,4,113M,,,0.72
20,5,113M,,,0.72
20,6,113M,,,0.73
20,7,113M,,,0.73
20,8,113M,,,0.75
20,9,113M,,,0.75
1,1,96M,,,0.29
1,2,96M,,,0.31
1,3,96M,,,0.29
1,4,96M,,,0.29
1,5,96M,,,0.29
1,6,96M,,,0.28
1,7,96M,,,0.29
1,8,96M,,,0.30
1,9,96M,,,0.30
2,1,100M,,,0.42
2,2,100M,,,0.43
2,3,100M,,,0.44
